id,Assigned Dealer Account,zip,route,,,,,,,,,,,,,
231,SX Cincinnati,40310,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
232,SX Cincinnati,40357,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
233,SX Cincinnati,40621,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
234,SX Cincinnati,41001,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
235,SX Cincinnati,41005,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
236,SX Cincinnati,41006,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
237,SX Cincinnati,41007,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
238,SX Cincinnati,41011,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
239,SX Cincinnati,41014,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
240,SX Cincinnati,41015,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
241,SX Cincinnati,41016,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
242,SX Cincinnati,41017,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
243,SX Cincinnati,41018,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
244,SX Cincinnati,41030,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
245,SX Cincinnati,41033,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
246,SX Cincinnati,41042,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
247,SX Cincinnati,41043,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
248,SX Cincinnati,41048,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
249,SX Cincinnati,41051,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
250,SX Cincinnati,41059,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
251,SX Cincinnati,41063,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
252,SX Cincinnati,41071,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
253,SX Cincinnati,41073,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
254,SX Cincinnati,41074,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
255,SX Cincinnati,41075,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
256,SX Cincinnati,41076,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
257,SX Cincinnati,41080,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
258,SX Cincinnati,41085,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
259,SX Cincinnati,41091,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
260,SX Cincinnati,41092,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
261,SX Cincinnati,41094,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
262,SX Cincinnati,41099,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
263,SX Cincinnati,45001,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
264,SX Cincinnati,45002,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
265,SX Cincinnati,45003,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
266,SX Cincinnati,45005,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
267,SX Cincinnati,45011,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
268,SX Cincinnati,45013,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
269,SX Cincinnati,45014,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
270,SX Cincinnati,45015,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
271,SX Cincinnati,45030,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
272,SX Cincinnati,45032,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
273,SX Cincinnati,45033,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
274,SX Cincinnati,45034,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
275,SX Cincinnati,45036,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
276,SX Cincinnati,45039,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
277,SX Cincinnati,45040,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
278,SX Cincinnati,45041,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
279,SX Cincinnati,45042,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
280,SX Cincinnati,45044,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
281,SX Cincinnati,45050,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
282,SX Cincinnati,45052,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
283,SX Cincinnati,45053,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
284,SX Cincinnati,45054,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
285,SX Cincinnati,45056,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
286,SX Cincinnati,45062,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
287,SX Cincinnati,45064,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
288,SX Cincinnati,45065,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
289,SX Cincinnati,45066,https://pergola.struxure.com/cincinnati-2,,,,,,,,,,,,,
